Gender,Category,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Feature_1,Feature_2,Material_2,Feature_3,Feature_4,Feature_5,Material_3,Material_4,Material_5,Material_6,Feature_6,Feature_7,Feature_8,Material_7,Material_8,Feature_9
women,Leggings & Tights,2019-12-08,14,DSG Women's Performance 7/8 Leggings,dsg_outerwear,24.98,https://www.dickssportinggoods.com/p/dsg-womens-performance-7-8-leggings-19qyfwcrprfrmnc78waa/19qyfwcrprfrmnc78waa,Spandex 11~20%,涼爽透氣,,Polyester Blended,,,,all/any Spandex,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-12-08,15,Under Armour Women's Authentic ColdGear Compression Leggings,under_armour,37.49,https://www.dickssportinggoods.com/p/under-armour-womens-authentic-coldgear-compression-leggings-16uarwcgthntclggnapb/16uarwcgthntclggnapb,Spandex 11~20%,提升運動效能設計,刷毛布,Polyester Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,16,Nike Women's Sportswear Jersey Pants,nike,45.00,https://www.dickssportinggoods.com/p/nike-womens-sportswear-jersey-pants-19nikwjrsypntxxxxapb/19nikwjrsypntxxxxapb,Rayon Blended,,,Polyester Blended,,,,Cotton Blended,,,,,,,,,
women,Leggings & Tights,2019-12-08,17,Nike One Women's Training Tights,nike,55.00,https://www.dickssportinggoods.com/p/nike-one-womens-training-tights-18nikwllntghtxxxxapba/18nikwllntghtxxxxapba,Spandex 11~20%,單向導溼快乾,,Polyester Blended,,,,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,18,Nike Women's Sportswear Heritage Track Pants,nike,30.97,https://www.dickssportinggoods.com/p/nike-womens-sportswear-heritage-track-pants-19nikwhrtgtrckpntapb/19nikwhrtgtrckpntapb,all/any Spandex,,,Spandex <= 10%,,,,Cotton Blended,,,,,,,,,
women,Leggings & Tights,2019-12-08,19,CALIA by Carrie Underwood Women's Energize 7/8 Leggings,calia_by_carrie_underwood,65.00,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-energize-7-8-leggings-17ca2wlghtwghtprfapbb/17ca2wlghtwghtprfapbb,Spandex 11~20%,蒸發性涼感,輕量,Polyamide(Nylon) Blended,超輕量,抗菌功能,單向導溼快乾,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,20,Nike Women's Therma Fleece Training Pants,nike,41.25,https://www.dickssportinggoods.com/p/nike-womens-therma-fleece-training-pants-19nikwthrmlltmpntapb/19nikwthrmlltmpntapb,all/any Spandex,保暖禦寒,刷毛布,Polyester Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-12-08,21,CALIA by Carrie Underwood Women's Essential Mid Rise Leggings,underwood,65.00,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-mid-rise-leggings-17ca2wbsclggngxxxapb/17ca2wbsclggngxxxapb,all/any Spandex,單向導溼快乾,蒸發性涼感,Spandex 11~20%,抗菌功能,,,Polyamide(Nylon) Blended,,,,,,,,,
women,Pants,2019-12-08,22,adidas Women's 3-Stripe Tricot Joggers,adidas,40,https://www.dickssportinggoods.com/p/adidas-womens-3-stripe-tricot-joggers-19adiw3strctjggrxapb/19adiw3strctjggrxapb,Recycled Polyester / PET,環保訴求,,Polyester Blended,,,,Recycled Polyester & Blended,,,,,,,,,
women,"Compression wear,Leggings & Tights",2019-12-08,23,DSG Women's Cold Weather Compression Tights,dsg_outerwear,25.97,https://www.dickssportinggoods.com/p/dsg-womens-cold-weather-compression-tights-19qyfwcwctghtxxxxwaa/19qyfwcwctghtxxxxwaa,all/any Spandex,提升運動效能設計,環保訴求,Polyester Blended,,,,Spandex 11~20%,Recycled Polyester / PET,Recycled Polyester & Blended,,,,,,,
women,Pants,2019-12-08,24,adidas Women's Tiro 19 Tape Pants,adidas,37.50,https://www.dickssportinggoods.com/p/adidas-womens-tiro-19-tape-pants-19adiwtrtppntxxxxapb/19adiwtrtppntxxxxapb,,蒸發性涼感,涼爽透氣,,結構性透氣,,,,,,,,,,,,
women,Pants,2019-12-08,25,DSG Women's Fleece Jogger Pants,dsg_outerwear,17.97,https://www.dickssportinggoods.com/p/dsg-womens-fleece-jogger-pants-19qyfwflcjggrxxxxwaa/19qyfwflcjggrxxxxwaa,Polyester Blended,刷毛布,,Cotton Blended,,,,,,,,,,,,,
women,"Leggings & Tights,Pants",2019-12-08,26,Nike One Women's Training Crop Tights,nike,37.50,https://www.dickssportinggoods.com/p/nike-one-womens-training-crop-tights-18nikwllncrpxxxxxapb/18nikwllncrpxxxxxapb,,,,,,,,,,,,,,,,,
women,Pants,2019-12-08,27,adidas Women's Essentials Season Brand Pants,adidas,22.50,https://www.dickssportinggoods.com/p/adidas-womens-essentials-season-brand-pants-19adiwssntlsbrndpapb/19adiwssntlsbrndpapb,Recycled Polyester / PET,環保訴求,,Cotton Blended,,,,Polyester Blended,Recycled Polyester & Blended,,,,,,,,
women,Leggings & Tights,2019-12-08,28,Under Armour Women's ColdGear Armour Leggings,under_armour,50.00,https://www.dickssportinggoods.com/p/under-armour-womens-coldgear-armour-leggings-19uarwcgrmrlggngxapb/19uarwcgrmrlggngxapb,Polyester Blended,刷毛布,保暖禦寒,Spandex <= 10%,提升運動效能設計,四面彈,涼爽透氣,all/any Spandex,,,,單向導溼快乾,,,,,
women,Leggings & Tights,2019-12-08,29,CALIA by Carrie Underwood Women's Cozy Leggings,underwood,40.97,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-cozy-leggings-19ca2wssntlczylggapb/19ca2wssntlczylggapb,Spandex 11~20%,蒸發性涼感,涼爽透氣,Polyester Blended,結構性透氣,抗菌功能,單向導溼快乾,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,30,Columbia Women's Bugaboo Omni-Heat Insulated Snow Pants,columbia,110.00,https://www.dickssportinggoods.com/p/columbia-womens-bugaboo-omni-heat-insulated-snow-pants-16cmbwbgbhpntxxxxaoa/16cmbwbgbhpntxxxxaoa,100% Polyester,羽絨,保暖禦寒,100% Polyamide(Nylon),化纖素材,,,,,,,,,,,,
women,Leggings & Tights,2019-12-08,31,CALIA by Carrie Underwood Women's Effortless Leggings,underwood,50.00,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-effortless-leggings-18ca2wlnglggngxxxapb/18ca2wlnglggngxxxapb,all/any Spandex,蒸發性涼感,抗菌功能,Rayon Blended,單向導溼快乾,,,Spandex <= 10%,Cotton Blended,,,,,,,,
women,Leggings & Tights,2019-12-08,32,Nike Women's Pro AeroAdapt Tights,nike,55.99,https://www.dickssportinggoods.com/p/nike-womens-pro-aeroadapt-tights-19nikwrdptprtghtxapb/19nikwrdptprtghtxapb,all/any Spandex,單向導溼快乾,,Spandex 11~20%,,,,Polyester Blended,,,,,,,,,
women,Pants,2019-12-08,33,Under Armour Women's Armour Fleece Pants,under_armour,37.50,https://www.dickssportinggoods.com/p/under-armour-womens-armour-fleece-pants-18uarwrmrflcpntxxapb/18uarwrmrflcpntxxapb,100% Polyester,保暖禦寒,涼爽透氣,,刷毛布,單向導溼快乾,,,,,,,,,,,
women,Leggings & Tights,2019-12-08,34,CALIA by Carrie Underwood Women's Essential High Rise Novelty Leggings,underwood,33.97,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-high-rise-novelty-leggings-19ca2whwmshdtllggapb/19ca2whwmshdtllggapb,Spandex 11~20%,蒸發性涼感,涼爽透氣,Polyamide(Nylon) Blended,結構性透氣,抗菌功能,單向導溼快乾,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-12-08,35,Nike Women's Power Racer Running Tights,nike,48.75,https://www.dickssportinggoods.com/p/nike-womens-power-racer-running-tights-18nikwrcrwrmtghtxapb/18nikwrcrwrmtghtxapb,all/any Spandex,保暖禦寒,反光功能,Polyester Blended,,,,Spandex <= 10%,,,,,,,,,
