,Gender,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Material_2,Material_3,Feature_1,Feature_2,Feature_3,Feature_4,Material_4,Feature_5,Feature_6,Material_5,Feature_7,Material_6,Feature_8,Feature_9
28,women,2019-01-06,29,SEASUM Women Scrunch Butt Yoga Pants Leggings High Waist Waistband Workout Sport Fitness Gym Tights Push Up,seasum,9,https://www.amazon.com/SEASUM-Scrunch-Leggings-Waistband-Workout/dp/B07C84MLX6,all/any Spandex,Polyester Blended,Spandex <= 10%,一體成型,結構性透氣,羽絨,保暖禦寒,,單向導溼快乾,,,,,,
29,women,2019-01-06,30,AJISAI Womens Workout Leggings High Waist Tummy Control Yoga Running Pants Non See-Through Fabric,ajisai,19.99,https://www.amazon.com/AJISAI-Workout-Leggings-Control-See-Through/dp/B0791H3LND,Spandex 11~20%,Cotton Blended,Polyester Blended,蒸發性涼感,涼爽透氣,異味控制,四面彈,all/any Spandex,單向導溼快乾,Athleisure,Polyamide(Nylon) Blended,舒適伸展,,,
30,women,2019-01-06,31,Under Armour Women's ColdGear Authentic,underarmour,42.49,https://www.amazon.com/Under-Armour-Womens-ColdGear-Authentic/dp/B018HQO09K,,,,刷毛布,單向導溼快乾,,,,,,,,,,
31,women,2019-01-06,32,TSLA Women's Thermal Wintergear Compression Baselayer Pants Leggings Tights,tesla,18.98,https://www.amazon.com/TSLA-Wintergear-Compression-Baselayer-Leggings/dp/B07MDGBFJH,all/any Spandex,Polyester Blended,,提升運動效能設計,涼爽透氣,刷毛布,單向導溼快乾,,,,,,,,
32,women,2019-01-06,33,TSLA Yoga Pants Mid-Waist Leggings w Hidden Pocket FYP51/FYP41,tesla,13.48,https://www.amazon.com/TSLA-Mid-Waist-Leggings-Hidden-Pocket/dp/B07M9YH3CB,all/any Spandex,Polyester Blended,,涼爽透氣,單向導溼快乾,,,,,,,,,,
33,women,2019-01-06,34,IMIDO Women's Yoga Capri Pants Sport Tights Workout Running Mesh Leggings with Side Pocket,imido,15.49,https://www.amazon.com/IMIDO-Womens-Workout-Running-Leggings/dp/B07CHVY1LR,Spandex 11~20%,all/any Spandex,Polyester Blended,結構性透氣,涼爽透氣,單向導溼快乾,,,,,,,,,
34,women,2019-01-06,35,RURING Women's High Waist Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Leggings,ruring,15.99,https://www.amazon.com/RURING-Control-Workout-Running-Leggings/dp/B077TMTFRP,Polyamide(Nylon) Blended,,,四面彈,涼爽透氣,單向導溼快乾,,,,,,,,,
35,women,2019-01-06,36,Bamans Women's Skinny Leg Work Pull on Slim Stretch Yoga Dress Pants w/Tummy Control,bamans,22.98,https://www.amazon.com/Bamans-Womens-Skinny-Stretch-Control/dp/B07K238DHW,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,涼爽透氣,單向導溼快乾,四面彈,,,,,,,,
36,women,2019-01-06,37,Neleus Women's Tummy Control High Waist Capri Leggings with Pockets,neleus,27.61,https://www.amazon.com/Neleus-Womens-Control-Leggings-Pockets/dp/B07KPZHJHH,Spandex 11~20%,all/any Spandex,Polyester Blended,涼爽透氣,蒸發性涼感,四面彈,單向導溼快乾,,,,,,,,
37,women,2019-01-06,38,EAST HONG Women's Yoga Leggings Exercise Workout Pants Gym Tights,easthong,17.49,https://www.amazon.com/EAST-HONG-Leggings-Exercise-Workout/dp/B07CSFV7HT,Spandex 11~20%,all/any Spandex,Polyester Blended,涼爽透氣,四面彈,單向導溼快乾,,,,,,,,,
